                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.2161,                 0.7091,                  0.916,                0.89178,                0.86805,                0.91718,                0.69383,                 1.0317,                0.56251,                0.87695,               0.005545,               0.005545,               0.005545
                    138,                 1.2161,                0.70568,                 0.9144,                0.90108,                0.86443,                0.91729,                0.69523,                   1.03,                0.56134,                0.87645,               0.005512,               0.005512,               0.005512
                    139,                 1.2248,                0.71701,                0.91666,                0.90244,                0.86397,                0.91784,                0.69654,                 1.0279,                0.56037,                0.87592,               0.005479,               0.005479,               0.005479
                    140,                 1.2203,                0.71453,                0.91666,                 0.8998,                  0.865,                0.91878,                0.69837,                 1.0259,                0.55955,                0.87553,               0.005446,               0.005446,               0.005446
                    141,                 1.2196,                0.70972,                0.91784,                0.90186,                0.86388,                0.91936,                0.69886,                 1.0253,                0.55898,                0.87518,               0.005413,               0.005413,               0.005413
                    142,                 1.2181,                0.70981,                0.91567,                0.89627,                0.86779,                0.92005,                0.69916,                 1.0244,                0.55867,                0.87521,                0.00538,                0.00538,                0.00538
                    143,                 1.2027,                0.69939,                0.91563,                0.89778,                0.86541,                0.91954,                0.69811,                 1.0237,                0.55829,                0.87506,               0.005347,               0.005347,               0.005347
                    144,                 1.1966,                0.69739,                0.91488,                0.89856,                0.86313,                0.91908,                0.69758,                  1.024,                0.55844,                0.87507,               0.005314,               0.005314,               0.005314
                    145,                 1.2035,                0.69971,                0.91808,                0.89896,                0.86526,                0.91963,                0.69893,                 1.0242,                0.55762,                 0.8751,               0.005281,               0.005281,               0.005281
                    146,                 1.2123,                0.70549,                0.91498,                0.89998,                0.86601,                 0.9209,                0.70059,                 1.0224,                0.55677,                0.87467,               0.005248,               0.005248,               0.005248
                    147,                 1.2096,                0.70399,                0.91731,                0.90009,                0.86495,                0.92184,                0.70095,                 1.0213,                0.55618,                0.87446,               0.005215,               0.005215,               0.005215
                    148,                 1.2123,                0.70394,                0.91382,                0.90417,                 0.8627,                0.92208,                0.70129,                 1.0211,                 0.5554,                0.87415,               0.005182,               0.005182,               0.005182
                    149,                 1.2009,                0.69725,                0.91494,                0.89907,                0.86679,                0.92291,                0.70317,                 1.0204,                0.55473,                0.87392,               0.005149,               0.005149,               0.005149
                    150,                    1.2,                0.69878,                0.91496,                0.89909,                0.87162,                0.92313,                0.70444,                 1.0193,                 0.5539,                0.87378,               0.005116,               0.005116,               0.005116
                    151,                 1.2029,                0.70011,                 0.9152,                0.89951,                0.87325,                0.92335,                0.70458,                 1.0181,                0.55321,                0.87356,               0.005083,               0.005083,               0.005083
                    152,                 1.2044,                0.69877,                0.91237,                 0.8994,                0.87224,                0.92342,                0.70585,                  1.017,                0.55293,                0.87316,                0.00505,                0.00505,                0.00505
                    153,                  1.199,                0.70154,                0.91435,                0.90068,                0.87243,                0.92352,                0.70719,                 1.0158,                0.55193,                0.87278,               0.005017,               0.005017,               0.005017
                    154,                 1.2059,                0.70013,                0.91391,                0.89418,                0.87712,                0.92372,                0.70786,                 1.0149,                0.55122,                 0.8726,               0.004984,               0.004984,               0.004984
                    155,                 1.2124,                0.69961,                0.91418,                0.89823,                0.87349,                0.92387,                0.70813,                 1.0139,                 0.5507,                0.87245,               0.004951,               0.004951,               0.004951
                    156,                 1.2085,                0.70157,                0.91343,                0.89945,                 0.8728,                0.92422,                 0.7098,                 1.0133,                0.55043,                0.87239,               0.004918,               0.004918,               0.004918
                    157,                 1.2037,                0.69777,                0.91367,                0.89578,                0.87617,                0.92432,                0.71001,                 1.0116,                0.54908,                0.87217,               0.004885,               0.004885,               0.004885
